spaceId	spaceName
6113	3楼中走廊071
6114	3楼中走廊072
6115	4楼东001
6116	4楼东002
6117	4楼东003
6118	4楼东004
6119	4楼东005
6120	4楼东006
6121	4楼东007
6122	4楼东008
6123	4楼东009
6124	4楼东010
6125	4楼东011
6126	4楼东012
6127	4楼东013
6128	4楼东014
6129	4楼东015
6130	4楼东016
6131	4楼东017
6132	4楼东018
6133	4楼东019
6134	4楼东020
6135	4楼东021
6136	4楼东022
6137	4楼东023
6138	4楼东024
6139	4楼东025
6140	4楼东026
6141	4楼东027
6142	4楼东028
6143	4楼东029
6144	4楼东030
6145	4楼东031
6146	4楼东032
6147	4楼东033
6148	4楼东034
6149	4楼东035
6150	4楼东036
6151	4楼东037
6152	4楼东038
6153	4楼东039
6154	4楼东040
6155	4楼东041
6156	4楼东042
6157	4楼东043
6158	4楼东044
6159	4楼东045
6160	4楼东046
6161	4楼东047
6162	4楼东048
6163	4楼东049
6164	4楼东050
6165	4楼东051
6166	4楼东052
6167	4楼东053
6168	4楼东054
6169	4楼东055
6170	4楼东056
6171	4楼东057
6172	4楼东058
6173	4楼东059
6174	4楼东060
6175	4楼东061
6176	4楼东062
6177	4楼东063
6178	4楼东064
6179	4楼东065
6180	4楼东066
6181	4楼东067
6182	4楼东068
6183	4楼东069
6184	4楼东070
6185	4楼东071
6186	4楼东072
6187	4楼东073
6188	4楼东074
6189	4楼东075
6190	4楼东076
6191	4楼东077
6192	4楼东078
6193	4楼东079
6194	4楼东080
6195	4楼东081
6196	4楼东082
6197	4楼东083
6198	4楼东084
6199	4楼东085
6200	4楼东086
6201	4楼东087
6202	4楼东088
6203	4楼东089
6204	4楼东090
6205	4楼东091
6206	4楼东092
6207	4楼东093
6208	4楼东094
6209	4楼东095
6210	4楼东096
6211	4楼东097
6212	4楼东098
6213	4楼东099
6214	4楼东100
6215	4楼东101
6216	4楼东102
6217	4楼东103
6218	4楼东104
6219	4楼东105
6220	4楼东106
6221	4楼东107
6222	4楼东108
6223	4楼东109
6224	4楼东110
6225	4楼东111
6226	4楼东112
6227	4楼东113
6228	4楼东114
6229	4楼东115
6230	4楼东116
6231	4楼西001
6232	4楼西002
6233	4楼西003
6234	4楼西004
6235	4楼西005
6236	4楼西006
6237	4楼西007
6238	4楼西008
6239	4楼西009
6240	4楼西010
6241	4楼西011
6242	4楼西012
6243	4楼西013
6244	4楼西014
6245	4楼西015
6246	4楼西016
6247	4楼中走廊001
6248	4楼中走廊002
6249	4楼中走廊003
6250	4楼中走廊004
6251	4楼中走廊005
6252	4楼中走廊006
6253	4楼中走廊007
6254	4楼中走廊008
6255	4楼中走廊009
6256	4楼中走廊010
6257	4楼中走廊011
6258	4楼中走廊012
6259	4楼中走廊013
6260	4楼中走廊014
6261	4楼中走廊015
6262	4楼中走廊016
6263	4楼中走廊017
6264	4楼中走廊018
6265	4楼中走廊019
6266	4楼中走廊020
6267	4楼中走廊021
6268	4楼中走廊022
6269	4楼中走廊023
6270	4楼中走廊024
6271	4楼中走廊025
6272	4楼中走廊026
6273	4楼中走廊027
6274	4楼中走廊028
6275	4楼中走廊029
6276	4楼中走廊030
6277	4楼中走廊031
6278	4楼中走廊032
6279	4楼中走廊033
6280	4楼中走廊034
6281	4楼中走廊035
6282	4楼中走廊036
6283	4楼中走廊037
6284	4楼中走廊038
6285	4楼中走廊039
6286	4楼中走廊040
6287	4楼中走廊041
6288	4楼中走廊042
6289	4楼中走廊043
6290	4楼中走廊044
6291	4楼中走廊045
6292	4楼中走廊046
6293	4楼中走廊047
6294	4楼中走廊048
6295	4楼中走廊049
6296	4楼中走廊050
6297	4楼中走廊051
6298	4楼中走廊052
6299	4楼中走廊053
6300	4楼中走廊054
6301	4楼中走廊055
6302	4楼中走廊056
6303	4楼中走廊057
6304	4楼中走廊058
6305	4楼中走廊059
6306	4楼中走廊060
6307	4楼中走廊061
6308	4楼中走廊062
6309	4楼中走廊063
6310	4楼中走廊064
6311	4楼中走廊065
6312	4楼中走廊066
6313	4楼中走廊067
6314	4楼中走廊068
6315	4楼中走廊069
6316	4楼中走廊070
6317	4楼中走廊071
6318	4楼中走廊072
6319	4楼中走廊073
6320	4楼中走廊074
6321	4楼中走廊075
6322	4楼中走廊076
6323	4楼中走廊077
6324	4楼中走廊078
6325	4楼中走廊079
6326	4楼中走廊080
6327	5楼东001
6328	5楼东002
6329	5楼东003
6330	5楼东004
6331	5楼东005
6332	5楼东006
6333	5楼东007
6334	5楼东008
6335	5楼东009
6336	5楼东010
6337	5楼东011
6338	5楼东012
6339	5楼东013
6340	5楼东014
6341	5楼东015
6342	5楼东016
6343	5楼东017
6344	5楼东018
6345	5楼东019
6346	5楼东020
6347	5楼东021
6348	5楼东022
6349	5楼东023
6350	5楼东024
6351	5楼东025
6352	5楼东026
6353	5楼东027
6354	5楼东028
6355	5楼东029
6356	5楼东030
6357	5楼东031
6358	5楼东032
6359	5楼东033
6360	5楼东034
6361	5楼东035
6362	5楼东036
6363	5楼东037
6364	5楼东038
6365	5楼东039
6366	5楼东040
6367	5楼东041
6368	5楼东042
6369	5楼东043
6370	5楼东044
6371	5楼东045
6372	5楼东046
6373	5楼东047
6374	5楼东048
6375	5楼东049
6376	5楼东050
6377	5楼东051
6378	5楼东052
6379	5楼东053
6380	5楼东054
6381	5楼东055
6382	5楼东056
6383	5楼东057
6384	5楼东058
6385	5楼东059
6386	5楼东060
6387	5楼东061
6388	5楼东062
6389	5楼东063
6390	5楼东064
6391	5楼东065
6392	5楼东066
6393	5楼东067
6394	5楼东068
6395	5楼东069
6396	5楼东070
6397	5楼东071
6398	5楼东072
6399	5楼东073
6400	5楼东074
6401	5楼东075
6402	5楼东076
6403	5楼东077
6404	5楼东078
6405	5楼东079
6406	5楼东080
6407	5楼东081
6408	5楼东082
6409	5楼东083
6410	5楼东084
6411	5楼东085
6412	5楼东086
6413	5楼东087
6414	5楼东088
6415	5楼东089
6416	5楼东090
6417	5楼东091
6418	5楼东092
6419	5楼东093
6420	5楼东094
6421	5楼东095
6422	5楼东096
6423	5楼东097
6424	5楼东098
6425	5楼东099
6426	5楼东100
6427	5楼东101
6428	5楼东102
6429	5楼东103
6430	5楼东104
